City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Jamestown,US,19.77,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
4,Cidreira,BR,21.75,overcast clouds,-30.1811,-50.2056,Hotel Castelo
8,Erie,US,21.26,broken clouds,42.7667,-78.6664,Roycroft Inn
17,San Rafael,AR,18.91,clear sky,-34.6177,-68.3301,Hotel San Rafael
18,Pisco,PE,20.03,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
22,Tunduma,TZ,20.03,moderate rain,-9.3,32.7667,Sacse High Class Hotel
24,Hermanus,ZA,21.56,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
48,Gat,IL,21.89,overcast clouds,31.61,34.7642,OlusHome
49,Hilo,US,21.82,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
53,Bredasdorp,ZA,21.99,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
59,Port Lincoln,AU,19.96,light rain,-34.7333,135.8667,Port Lincoln Hotel
74,Marawi,PH,21.06,overcast clouds,7.9986,124.2928,Derogongan Residence
90,Katsuura,JP,18.22,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
91,Alofi,NU,21.94,clear sky,-19.0595,-169.9187,Taloa Heights
95,Biloela,AU,18.72,clear sky,-24.4167,150.5,Biloela Silo Motor Inn
105,Cascais,PT,20.28,scattered clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
120,Ponta Do Sol,PT,20.35,broken clouds,32.6667,-17.1,Hotel do Campo
126,Cabo San Lucas,MX,21.4,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
153,Vila Franca Do Campo,PT,18.23,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
158,Xinzhi,CN,18.01,overcast clouds,36.4989,111.7047,Mingyue Hotel
165,Tateyama,JP,18.39,few clouds,34.9833,139.8667,Tateyama Seaside Hotel
173,Castro,BR,19.22,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
180,Morehead,US,19.32,light rain,37.2711,-87.1764,CCI Express Inn
201,Boysun,UZ,19.37,clear sky,38.2061,67.1986,Gaza Hotel
206,Geraldton,AU,18.23,clear sky,-28.7667,114.6,Broadwater Mariner Resort
221,Nador,MA,20.04,scattered clouds,35.174,-2.9287,Hôtel La Giralda
261,Shimoda,JP,18.95,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
297,Saint-Francois,FR,19.26,clear sky,46.4154,3.9054,Manoir Du Bonheur
308,Atyrau,KZ,18.01,dust,47.1167,51.8833,River Palace Hotel
315,Aguimes,ES,20.35,broken clouds,27.9054,-15.4461,Hotel Villa de Aguimes
345,Beyneu,KZ,19.65,clear sky,45.3167,55.2,NUR
349,Jablah,SY,18.16,clear sky,35.3614,35.9256,بستان صالح
350,Ushtobe,KZ,18.15,clear sky,45.2514,77.9838,Filipin Squad
358,Sao Filipe,CV,21.98,few clouds,14.8961,-24.4956,Hotel Xaguate
359,Kruisfontein,ZA,21.05,clear sky,-34.0033,24.7314,Oyster Bay House Rental
360,Altoona,US,20.74,overcast clouds,40.5187,-78.3947,Cedar Grove Motel
366,Chuy,UY,21.28,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
369,Minas,UY,18.28,clear sky,-34.3759,-55.2377,Hotel Minas
371,Birin,NP,18.53,overcast clouds,26.8865,88.0718,Sangam hotel and lodge
393,Lexington,US,19.63,overcast clouds,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
396,Hasaki,JP,18.22,scattered clouds,35.7333,140.8333,Inubosaki Kanko Hotel
399,Mondovi,IT,19.73,overcast clouds,44.396,7.8176,Park Hotel
409,Chimbote,PE,20.76,scattered clouds,-9.0853,-78.5783,Hotel Briliá
425,Catamarca,AR,18.66,overcast clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
426,Vesoul,FR,21.45,broken clouds,47.5833,5.8333,Camping Municipal La Louvière
428,Muros,ES,19.27,few clouds,42.7762,-9.0603,Apartment Av. Castelao
433,Los Llanos De Aridane,ES,18.86,broken clouds,28.6585,-17.9182,Valle Aridane
455,Pimentel,PE,21.16,clear sky,-6.8367,-79.9342,Hotel Puerto del Sol
458,Huarmey,PE,21.38,clear sky,-10.0681,-78.1522,Hotel Miramar
466,Hualmay,PE,20.96,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
468,Nakonde,ZM,19.6,light rain,-9.3421,32.745,Masahani Inn Hotel
469,Traverse City,US,19.04,overcast clouds,44.7631,-85.6206,Bayshore Resort
474,Chancay,PE,20.48,broken clouds,-11.5714,-77.2672,Hotel Madre Perla
488,Praia Da Vitoria,PT,18.14,broken clouds,38.7333,-27.0667,Hotel Branco I
489,Rioja,AR,20.81,scattered clouds,-29.4111,-66.8507,Hotel Libertador
494,Horni Slavkov,CZ,19.23,clear sky,50.1386,12.8076,Art-hotel Royal golf
500,George,ZA,18.75,broken clouds,-33.963,22.4617,Protea Hotel by Marriott George King George
511,Aksu,CN,21.38,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
519,Taltal,CL,18.77,clear sky,-25.4,-70.4833,Residencial Karime
527,Zhanaozen,KZ,18.62,clear sky,43.3,52.8,K.korabay 28A
537,Balkanabat,TM,21.78,clear sky,39.5108,54.3671,Nebitchi Hotel
541,Naze,JP,19.51,few clouds,28.3667,129.4833,Shishime Hotel
542,Alice Springs,AU,20.75,clear sky,-23.7,133.8833,Desert Palms Alice Springs
545,Port Huron,US,19.37,overcast clouds,42.9709,-82.4249,Fairfield Inn by Marriott Port Huron
551,Nyakahanga,TZ,21.88,overcast clouds,-1.6033,31.1414,Citizen guest house
575,Glubczyce,PL,19.34,clear sky,50.2009,17.8286,Hotel Restaurant Domino
588,Coolum Beach,AU,18.95,light rain,-26.5333,153.1,Coolum Beach Resort
591,Kadoma,JP,19.54,overcast clouds,34.7333,135.5833,Hotel Agora Osaka Moriguchi
593,Kentau,KZ,20.11,clear sky,43.5206,68.5094,Safary
626,Teguise,ES,19.12,light intensity drizzle,29.0605,-13.564,B&B La Casona de Nazaret
655,Chardara,KZ,21.25,clear sky,41.2547,67.9692,Жанаргул
658,Broome,US,19.0,scattered clouds,42.2506,-75.833,Chenango Valley State Park
668,Springdale,US,18.85,very heavy rain,36.1867,-94.1288,Springdale Inn
692,Tarata,BO,18.71,clear sky,-17.6167,-66.0167,Hacienda castillo
702,San Julian,MX,20.27,few clouds,21.0167,-102.1667,La Nueva España
708,Torrijos,ES,18.93,broken clouds,39.9819,-4.2835,Hotel La Salve
709,Gisors,FR,18.84,overcast clouds,49.2818,1.7801,Hôtel Moderne
711,Jamestown,US,18.77,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
