City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Jamestown,US,42.097,-79.2353,19.77,55,75,6.17,broken clouds
Tuktoyaktuk,CA,69.4541,-133.0374,-15,72,75,5.66,broken clouds
Provideniya,RU,64.3833,-173.3,-6.8,91,100,8.34,overcast clouds
Kailua,US,21.4022,-157.7394,23.41,83,100,6.91,overcast clouds
Cidreira,BR,-30.1811,-50.2056,21.75,79,94,4.19,overcast clouds
Altamira,BR,-3.2033,-52.2064,29.05,74,75,2.57,broken clouds
Kavaratti,IN,10.5669,72.642,29.39,69,100,2.93,heavy intensity rain
Srivardhan,IN,18.0333,73.0167,28.67,63,78,1.32,broken clouds
Erie,US,42.7667,-78.6664,21.26,64,59,4.02,broken clouds
Guerrero Negro,MX,27.9769,-114.0611,13.5,72,0,2.66,clear sky
Vaini,TO,-21.2,-175.2,23.09,88,20,1.54,few clouds
Munteni Buzau,RO,44.6333,26.9833,15.47,28,32,3.31,scattered clouds
Batagay-Alyta,RU,67.8006,130.4114,-19.9,100,100,1.47,overcast clouds
Albany,US,42.6001,-73.9662,12.54,62,100,1.88,overcast clouds
Punta Arenas,CL,-53.15,-70.9167,12.06,66,40,11.32,scattered clouds
Omboue,GA,-1.5746,9.2618,28.88,69,100,4.52,overcast clouds
Barrow,US,71.2906,-156.7887,-20.99,77,0,1.54,clear sky
San Rafael,AR,-34.6177,-68.3301,18.91,27,0,1.6,clear sky
Pisco,PE,-13.7,-76.2167,20.03,73,0,2.57,clear sky
Livingstone,ZM,-17.8419,25.8543,28.66,55,96,2.01,overcast clouds
Morgan City,US,29.6994,-91.2068,25.56,88,0,6.17,clear sky
Tura,IN,25.5198,90.2201,24.38,85,94,1.71,overcast clouds
Tunduma,TZ,-9.3,32.7667,20.03,83,72,0.8,moderate rain
Thompson,CA,55.7435,-97.8558,-6.91,86,100,6.17,overcast clouds
Hermanus,ZA,-34.4187,19.2345,21.56,84,100,5.04,overcast clouds
Sarangani,PH,5.4033,125.4636,28.19,80,94,7.38,overcast clouds
Karratha,AU,-20.7377,116.8463,28.15,51,34,2.81,scattered clouds
Guisa,CU,20.255,-76.5386,27.04,60,3,3.04,clear sky
Ust-Karsk,RU,52.7011,118.8077,-0.98,60,56,0.1,broken clouds
Roebourne,AU,-20.7833,117.1333,28.29,46,49,2.93,scattered clouds
Souillac,MU,-20.5167,57.5167,25.21,94,75,8.75,light rain
Moyeuvre-Grande,FR,49.2517,6.0475,22.1,50,52,1.34,broken clouds
Chokurdakh,RU,70.6333,147.9167,-27.76,100,81,1.82,broken clouds
Corrientes,AR,-27.4806,-58.8341,22.23,61,0,8.23,clear sky
Atuona,PF,-9.8,-139.0333,25.53,81,52,8.1,light rain
Cape Town,ZA,-33.9258,18.4232,22.84,76,20,8.23,few clouds
Bethel,US,41.3712,-73.414,17.05,36,75,2.06,broken clouds
Ushuaia,AR,-54.8,-68.3,6.81,70,75,2.06,broken clouds
Puerto Ayora,EC,-0.7393,-90.3518,26.98,83,78,3.1,broken clouds
Potanino,RU,55.1786,61.6222,12.13,54,40,3,scattered clouds
Felanitx,ES,39.4696,3.1483,15.53,84,100,6.78,overcast clouds
Rikitea,PF,-23.1203,-134.9692,25.71,71,1,7.97,clear sky
Mataura,NZ,-46.1927,168.8643,5.82,98,11,0.76,few clouds
Ola,RU,59.5833,151.2833,-8.9,69,100,4.91,overcast clouds
Saint-Philippe,RE,-21.3585,55.7679,24.77,89,82,6.87,light rain
Shenjiamen,CN,29.9576,122.298,14.16,97,100,8.56,moderate rain
Northam,GB,51.0333,-4.2167,15.37,86,30,3.65,scattered clouds
Tutin,RS,42.9903,20.3314,16.07,37,7,1.99,clear sky
Gat,IL,31.61,34.7642,21.89,18,95,5.66,overcast clouds
Hilo,US,19.7297,-155.09,21.82,89,75,1.79,broken clouds
Busselton,AU,-33.65,115.3333,14.53,78,0,5.41,clear sky
Hithadhoo,MV,-0.6,73.0833,29.19,71,27,6.32,scattered clouds
Pangkalanbuun,ID,-2.6833,111.6167,23.97,94,100,0.85,overcast clouds
Bredasdorp,ZA,-34.5322,20.0403,21.99,66,100,6.22,overcast clouds
Vavozh,RU,56.7751,51.931,4.47,100,100,1.85,overcast clouds
Sitka,US,57.0531,-135.33,-1.06,43,0,0,clear sky
Upernavik,GL,72.7868,-56.1549,-15.27,88,100,3.92,overcast clouds
Port Alfred,ZA,-33.5906,26.891,24.54,82,4,0.89,clear sky
Tolaga Bay,NZ,-38.3667,178.3,13.44,92,100,11.26,overcast clouds
Port Lincoln,AU,-34.7333,135.8667,19.96,70,100,5.82,light rain
Sola,VU,-13.8833,167.55,27.75,75,30,5.68,scattered clouds
Mayya,RU,61.7333,130.2811,-4.38,98,100,1,overcast clouds
Lodja,CD,-3.4833,23.4333,35.21,35,87,1.71,overcast clouds
Victoria,HK,22.2855,114.1577,26.21,87,96,2.24,overcast clouds
Avarua,CK,-21.2078,-159.775,24.03,100,40,1.03,scattered clouds
Yellowknife,CA,62.456,-114.3525,-20.25,71,20,2.57,few clouds
Arraial Do Cabo,BR,-22.9661,-42.0278,29.98,66,0,7.2,clear sky
Lebu,CL,-37.6167,-73.65,12.31,63,1,7.61,clear sky
Tiznit,MA,29.5833,-9.5,18.25,53,3,4.86,clear sky
Sayyan,YE,15.1718,44.3244,24.1,14,34,4.92,scattered clouds
Port Hedland,AU,-20.3167,118.5667,27.03,50,4,3.6,clear sky
Svetlyy Yar,RU,48.4748,44.781,8.51,65,100,9.88,overcast clouds
Codrington,AU,-38.2667,141.9667,11.65,91,0,3.8,clear sky
Lavrentiya,RU,65.5833,-171,-10.38,89,77,5.15,broken clouds
Marawi,PH,7.9986,124.2928,21.06,92,93,0.73,overcast clouds
Polyarnyy,RU,69.1989,33.4478,-0.75,75,90,0.55,overcast clouds
Faanui,PF,-16.4833,-151.75,27.64,71,6,7.1,clear sky
Hobart,AU,-42.8794,147.3294,11.92,80,2,4.12,clear sky
Bilma,NE,18.6853,12.9164,40.8,4,17,5.15,few clouds
Gumla,IN,23.05,84.55,33.83,13,99,2.57,overcast clouds
Mount Isa,AU,-20.7333,139.5,28.87,26,4,3.09,light rain
Bengkulu,ID,-3.8004,102.2655,26.21,80,18,1.47,few clouds
Qaanaaq,GL,77.484,-69.3632,-16.64,93,100,1.88,overcast clouds
Kang,BW,-23.6752,22.7876,28.71,24,7,3.27,clear sky
Tabory,RU,58.5198,64.5495,5.86,91,19,3.78,few clouds
Saskylakh,RU,71.9167,114.0833,-22.99,100,95,2.38,overcast clouds
Flinders,AU,-34.5833,150.8552,15.66,93,80,1.79,light rain
Cairns,AU,-16.9167,145.7667,25.97,73,40,5.14,scattered clouds
